Design,Sample,Recipe,Area,Delay,QoR
simple_spi_orig,40,"b; rfz; st; rf; rwz; rs; rfz; rfz; f; st; rwz; rfz; rfz; rf; b; rwz; rs; rfz; f; st;",558.36,189.01,105462
simple_spi_orig,41,"b; st; f; rwz; f; f; f; st; rs; b; rs; st; rf; rw; rfz; st; rw; rwz; rw; rwz;",551.92,181.04,99731
simple_spi_orig,42,"st; b; b; st; f; rwz; rw; st; st; f; st; rw; rfz; rw; rfz; f; rf; rf; rs; st;",559.40,196.41,109564
simple_spi_orig,43,"st; rw; rf; b; f; f; rfz; f; f; rs; rw; st; st; f; st; rfz; rfz; st; f; b;",564.52,185.97,104340
simple_spi_orig,44,"st; f; rf; rw; rfz; f; rwz; rwz; rw; f; rfz; rwz; st; rw; b; rwz; rwz; rfz; rw; b;",556.58,195.52,108420
simple_spi_orig,45,"st; rfz; rf; rfz; rf; f; st; st; b; rs; rw; rw; rs; rfz; rwz; rwz; rwz; rf; rwz; rfz;",552.34,200.18,110400
simple_spi_orig,46,"st; rf; st; rs; rf; rwz; rw; rf; rw; f; rwz; st; rw; b; rwz; rwz; b; b; rwz; rwz;",523.15,202.19,105646
simple_spi_orig,47,"b; rf; b; rwz; rf; rf; f; rf; rf; f; rfz; rs; rfz; rwz; b; rs; f; rfz; rs; rfz;",564.79,194.45,109416
simple_spi_orig,48,"st; rs; rs; rw; rs; rf; f; st; st; rwz; f; b; f; rw; rfz; rw; b; f; rw; rs;",558.67,185.97,103230
simple_spi_orig,49,"b; rw; rw; rw; rs; rw; rf; rwz; rw; b; b; rwz; st; rf; rwz; rwz; rw; rfz; rfz; rf;",575.73,184.64,105800
simple_spi_orig,50,"st; rs; rw; st; rs; f; rf; rf; rs; rf; rf; rs; rs; b; rfz; rfz; rf; b; rwz; b;",542.71,185.18,100270
simple_spi_orig,51,"b; rs; st; st; rf; rw; st; b; st; st; rw; rfz; f; rwz; rwz; rw; rwz; rw; rw; b;",545.65,185.18,100825
simple_spi_orig,52,"b; rw; st; rs; rf; rf; rw; rf; rwz; rw; rfz; f; rf; rs; rw; rfz; st; rs; st; f;",556.35,189.41,105084
simple_spi_orig,53,"b; b; rw; f; rf; rf; rw; rw; rf; rfz; b; rfz; rwz; rfz; rwz; rw; f; rw; rs; rf;",530.43,185.18,98050
simple_spi_orig,54,"b; rs; rfz; st; f; b; rwz; rw; rs; rwz; f; rf; rf; b; f; rw; rw; rfz; rfz; st;",553.90,185.18,102305
simple_spi_orig,55,"b; rf; f; rfz; f; rfz; rf; rf; f; rfz; rf; rfz; st; rfz; st; b; st; rw; rs; rf;",544.35,203.04,110432
simple_spi_orig,56,"st; b; f; rw; f; st; b; f; rs; rs; rwz; f; rfz; b; rwz; rw; b; rfz; rs; st;",552.95,193.19,106536
simple_spi_orig,57,"st; rfz; f; rfz; rs; rfz; rfz; rs; rfz; rfz; f; b; st; f; rs; rwz; rf; rs; rfz; f;",560.60,203.11,113680
simple_spi_orig,58,"st; rf; rs; rs; rfz; rfz; rwz; rs; rfz; f; rs; rw; f; rf; rwz; f; b; f; f; st;",529.98,200.52,105800
simple_spi_orig,59,"b; st; rwz; f; rf; rf; st; st; f; b; rwz; rwz; rw; rwz; rs; rw; rf; rw; rwz; rf;",556.07,180.87,100080
simple_spi_orig,60,"b; st; f; st; rwz; st; f; rf; f; rfz; st; b; rs; rfz; rs; rw; rw; rwz; f; rw;",540.12,183.82,98820
simple_spi_orig,61,"st; b; rf; b; rwz; b; rfz; st; rwz; rw; rwz; rfz; b; f; rw; rfz; rf; f; rwz; st;",537.76,195.52,104715
