Design,Recipe_Number,Final_Area,Final_Delay,Final_QoR
pci_orig.bench,464,11304.07,629.13,7110216
pci_orig.bench,465,11536.79,433.32,4995088
pci_orig.bench,466,11478.47,527.63,6048906
pci_orig.bench,467,11419.35,514.52,5869366
pci_orig.bench,468,11752.23,445.93,5229640
pci_orig.bench,469,11714.27,419.03,4908166
pci_orig.bench,470,11711.00,424.76,4965464
pci_orig.bench,471,11759.40,445.18,5232755
pci_orig.bench,472,11834.80,436.52,5159624
pci_orig.bench,473,11551.35,454.86,5244154
pci_orig.bench,474,11627.27,440.41,5115880
pci_orig.bench,475,11628.33,483.01,5616324
pci_orig.bench,476,11671.01,429.17,5006859
pci_orig.bench,477,11772.76,407.70,4791204
pci_orig.bench,478,11700.47,437.15,5112900
pci_orig.bench,479,11800.41,470.31,5546000
pci_orig.bench,480,11729.38,619.87,7260251
pci_orig.bench,481,12065.80,465.75,5610225
pci_orig.bench,482,11257.22,631.87,7103167
pci_orig.bench,483,11670.35,433.55,5053110
pci_orig.bench,484,11789.37,414.18,4880646
pci_orig.bench,485,11467.32,624.28,7155408
pci_orig.bench,486,11097.41,616.23,6835752
pci_orig.bench,487,11582.13,483.01,5594106
pci_orig.bench,488,11858.78,411.15,4873638
pci_orig.bench,489,11842.81,421.01,4985482
pci_orig.bench,490,11516.02,439.78,5055524
pci_orig.bench,491,11946.37,406.99,4850076
pci_orig.bench,492,11587.90,478.28,5538586
pci_orig.bench,493,11867.51,402.98,4770534
pci_orig.bench,494,11113.93,620.74,6890060
pci_orig.bench,495,11328.32,625.36,7080000
pci_orig.bench,496,11803.72,396.19,4673988
pci_orig.bench,497,11754.48,442.24,5195268
pci_orig.bench,498,11808.59,432.54,5101056
pci_orig.bench,499,11687.17,428.47,5002036
pci_orig.bench,500,11160.93,628.50,7008480
