Design,Recipe_Number,Final_Area,Final_Delay,Final_QoR
aes_secworks_orig.bench,114,22599.58,611.20,13807989
aes_secworks_orig.bench,115,21799.28,596.36,12992204
aes_secworks_orig.bench,116,22602.74,594.05,13425588
aes_secworks_orig.bench,117,22147.23,581.67,12867407
aes_secworks_orig.bench,118,23419.52,586.03,13723534
aes_secworks_orig.bench,119,22512.61,562.43,12651744
aes_secworks_orig.bench,120,22444.36,589.53,13219516
aes_secworks_orig.bench,121,22851.30,635.74,14510385
aes_secworks_orig.bench,122,22977.34,636.76,14613372
aes_secworks_orig.bench,123,22189.89,595.78,13202455
aes_secworks_orig.bench,124,22044.84,599.53,13204356
aes_secworks_orig.bench,125,22748.12,592.97,13466816
aes_secworks_orig.bench,126,21676.05,629.50,13634204
aes_secworks_orig.bench,127,23308.99,567.86,13215636
aes_secworks_orig.bench,128,21887.34,583.84,12760121
aes_secworks_orig.bench,129,23433.36,594.70,13919202
aes_secworks_orig.bench,130,23432.01,621.20,14551272
aes_secworks_orig.bench,131,22703.84,617.93,14007751
aes_secworks_orig.bench,132,21937.06,612.04,13425444
aes_secworks_orig.bench,133,21707.32,626.43,13588582
aes_secworks_orig.bench,134,22055.08,565.19,12461075
aes_secworks_orig.bench,135,21226.41,650.53,13796900
aes_secworks_orig.bench,136,22671.30,581.68,13171851
aes_secworks_orig.bench,137,23236.91,604.56,14034544
aes_secworks_orig.bench,138,23318.14,584.85,13617712
aes_secworks_orig.bench,139,23136.56,615.85,14228640
aes_secworks_orig.bench,140,22060.73,588.87,12971280
aes_secworks_orig.bench,141,22795.63,626.63,14269670
aes_secworks_orig.bench,142,22885.26,601.22,13753885
aes_secworks_orig.bench,143,22154.57,602.82,13336708
aes_secworks_orig.bench,144,22487.23,594.72,13357278
aes_secworks_orig.bench,145,21804.83,605.41,13191420
aes_secworks_orig.bench,146,22306.28,547.28,12201382
aes_secworks_orig.bench,147,21537.66,616.89,13266792
aes_secworks_orig.bench,148,22728.17,564.04,12818592
aes_secworks_orig.bench,149,23248.03,565.20,13135120
aes_secworks_orig.bench,150,23045.24,586.41,13504370
aes_secworks_orig.bench,151,23247.97,579.72,13460013
aes_secworks_orig.bench,152,22687.63,571.92,12954277
aes_secworks_orig.bench,153,22331.32,589.85,13152959
aes_secworks_orig.bench,154,21027.41,624.58,13120848
aes_secworks_orig.bench,155,22661.85,594.62,13460634
aes_secworks_orig.bench,156,23195.89,608.95,14102560
aes_secworks_orig.bench,157,22486.65,590.28,13266740
aes_secworks_orig.bench,158,22478.57,607.48,13644146
aes_secworks_orig.bench,159,21936.17,618.82,13556448
aes_secworks_orig.bench,160,21940.72,577.99,12659380
aes_secworks_orig.bench,161,22644.04,584.35,13224096
aes_secworks_orig.bench,162,22386.62,589.98,13185354
aes_secworks_orig.bench,163,24443.09,594.41,14519142
aes_secworks_orig.bench,164,23070.99,558.39,12873060
aes_secworks_orig.bench,165,22396.50,582.46,13034472
aes_secworks_orig.bench,166,22073.91,598.18,13199654
aes_secworks_orig.bench,167,23016.90,583.84,13418328
aes_secworks_orig.bench,168,22663.33,611.78,13847093
aes_secworks_orig.bench,169,21758.28,582.28,12663156
aes_secworks_orig.bench,170,21601.08,603.78,13025403
aes_secworks_orig.bench,171,19980.56,624.57,12467520
aes_secworks_orig.bench,172,22311.73,565.00,12605715
aes_secworks_orig.bench,173,22862.00,585.33,13374270
aes_secworks_orig.bench,174,21690.20,592.53,12840480
aes_secworks_orig.bench,175,22324.19,605.58,13506020
aes_secworks_orig.bench,176,22306.12,615.70,13718190
aes_secworks_orig.bench,177,22170.01,642.05,14233140
aes_secworks_orig.bench,178,23552.93,591.84,13919232
aes_secworks_orig.bench,179,22465.29,609.97,13681185
aes_secworks_orig.bench,180,22919.15,622.36,14255618
aes_secworks_orig.bench,181,22751.93,613.11,13946363
aes_secworks_orig.bench,182,22518.91,563.69,12677634
aes_secworks_orig.bench,183,22297.61,602.15,13422794
aes_secworks_orig.bench,184,22985.90,644.45,14802340
aes_secworks_orig.bench,185,23539.88,646.53,15206194
aes_secworks_orig.bench,186,23336.35,577.10,13464872
aes_secworks_orig.bench,187,21601.84,602.32,13003802
aes_secworks_orig.bench,188,21634.86,589.27,12742426
aes_secworks_orig.bench,189,22820.86,587.59,13395340
aes_secworks_orig.bench,190,24628.77,605.91,14899940
aes_secworks_orig.bench,191,23083.97,595.88,13734385
aes_secworks_orig.bench,192,23204.00,633.62,14688132
aes_secworks_orig.bench,193,21515.80,603.23,12973545
aes_secworks_orig.bench,194,21613.12,600.43,12967800
aes_secworks_orig.bench,195,23785.99,571.81,13581235
aes_secworks_orig.bench,196,20893.55,621.16,12974553
aes_secworks_orig.bench,197,22115.44,641.94,14175715
aes_secworks_orig.bench,198,21011.56,603.49,12669633
aes_secworks_orig.bench,199,23130.57,600.11,13878000
aes_secworks_orig.bench,200,23320.45,565.00,13175800
aes_secworks_orig.bench,201,22605.78,572.49,12930060
aes_secworks_orig.bench,202,23085.15,601.40,13874085
aes_secworks_orig.bench,203,22642.37,592.22,13404064
aes_secworks_orig.bench,204,23130.72,588.66,13600440
aes_secworks_orig.bench,205,23025.17,585.79,13469625
aes_secworks_orig.bench,206,23494.57,595.92,13978930
aes_secworks_orig.bench,207,22535.95,593.49,13363255
aes_secworks_orig.bench,208,20017.96,650.21,13011050
aes_secworks_orig.bench,209,23850.60,564.91,13451400
aes_secworks_orig.bench,210,22760.77,632.93,14384320
aes_secworks_orig.bench,211,22447.01,599.97,13445753
aes_secworks_orig.bench,212,22140.42,602.52,13328280
aes_secworks_orig.bench,213,22773.42,572.54,13026156
aes_secworks_orig.bench,214,21977.46,579.20,12724683
aes_secworks_orig.bench,215,22453.75,560.93,12573680
aes_secworks_orig.bench,216,21086.33,603.80,12714858
aes_secworks_orig.bench,217,23613.81,576.85,13601088
aes_secworks_orig.bench,218,23011.13,617.89,14197787
aes_secworks_orig.bench,219,23582.52,612.33,14432184
aes_secworks_orig.bench,220,23049.53,608.72,14013792
aes_secworks_orig.bench,221,21899.79,628.35,13752572
aes_secworks_orig.bench,222,23280.20,593.37,13805040
aes_secworks_orig.bench,223,22937.98,597.67,13693389
aes_secworks_orig.bench,224,22850.75,573.04,13093050
aes_secworks_orig.bench,225,22476.53,573.59,12878748
aes_secworks_orig.bench,226,21523.62,589.66,12677047
aes_secworks_orig.bench,227,22594.14,616.43,13917904
aes_secworks_orig.bench,228,22096.70,597.42,13191312
aes_secworks_orig.bench,229,21554.36,597.87,12867738
aes_secworks_orig.bench,230,21184.23,622.12,13176448
aes_secworks_orig.bench,231,23111.94,623.45,14398153
aes_secworks_orig.bench,232,23360.13,612.36,14296320
aes_secworks_orig.bench,233,22712.72,576.53,13082112
aes_secworks_orig.bench,234,21946.25,599.72,13145654
aes_secworks_orig.bench,235,22042.16,574.04,12652108
aes_secworks_orig.bench,236,21927.22,594.08,13024638
aes_secworks_orig.bench,237,21205.48,604.33,12807820
aes_secworks_orig.bench,238,21683.92,600.42,13009800
aes_secworks_orig.bench,239,22887.61,574.06,13137138
aes_secworks_orig.bench,240,22302.35,567.17,12645234
aes_secworks_orig.bench,241,22482.34,602.62,13534164
aes_secworks_orig.bench,242,22013.38,609.32,13405917
aes_secworks_orig.bench,243,21879.47,589.97,12886731
aes_secworks_orig.bench,244,22622.98,611.06,13822042
aes_secworks_orig.bench,245,22455.50,633.03,14214015
aes_secworks_orig.bench,246,23963.45,549.26,13155687
aes_secworks_orig.bench,247,22042.09,584.62,12872528
aes_secworks_orig.bench,248,22298.50,602.99,13423396
aes_secworks_orig.bench,249,22218.22,574.18,12753132
aes_secworks_orig.bench,250,23351.03,583.87,13613633
aes_secworks_orig.bench,251,22585.69,623.10,14070455
aes_secworks_orig.bench,252,21995.34,600.12,13197000
aes_secworks_orig.bench,253,23439.29,578.95,13547742
aes_secworks_orig.bench,254,22286.19,598.53,13327028
aes_secworks_orig.bench,255,22165.20,608.19,13476320
aes_secworks_orig.bench,256,22523.40,598.73,13468754
aes_secworks_orig.bench,257,20894.27,604.84,12619976
aes_secworks_orig.bench,258,23027.44,593.82,13655011
aes_secworks_orig.bench,259,24066.09,570.83,13717620
aes_secworks_orig.bench,260,23097.50,597.89,13788909
aes_secworks_orig.bench,261,21937.42,582.06,12767334
aes_secworks_orig.bench,262,23277.82,553.96,12872181
aes_secworks_orig.bench,263,23556.44,622.03,14651832
aes_secworks_orig.bench,264,23402.66,593.86,13877386
aes_secworks_orig.bench,265,21806.89,594.06,12952764
aes_secworks_orig.bench,266,22115.43,583.58,12893045
aes_secworks_orig.bench,267,23327.68,600.07,13996200
aes_secworks_orig.bench,268,22247.33,580.71,12903260
aes_secworks_orig.bench,269,22859.85,650.86,14858350
aes_secworks_orig.bench,270,22067.07,600.93,13240200
aes_secworks_orig.bench,271,21481.02,567.36,12179727
aes_secworks_orig.bench,272,22354.43,635.01,14194790
aes_secworks_orig.bench,273,23084.61,546.42,12603864
aes_secworks_orig.bench,274,22410.79,589.11,13199490
aes_secworks_orig.bench,275,22794.56,611.13,13927134
aes_secworks_orig.bench,276,23516.83,585.33,13756860
aes_secworks_orig.bench,277,22671.15,556.72,12605076
aes_secworks_orig.bench,278,21596.27,586.28,12655256
aes_secworks_orig.bench,279,23667.64,629.98,14886543
aes_secworks_orig.bench,280,22850.49,617.25,14098450
aes_secworks_orig.bench,281,23473.21,541.60,12698893
aes_secworks_orig.bench,282,23404.55,568.99,13293472
aes_secworks_orig.bench,283,21403.66,587.87,12563561
aes_secworks_orig.bench,284,22416.11,603.55,13516848
aes_secworks_orig.bench,285,22741.50,589.36,13394449
aes_secworks_orig.bench,286,22003.25,593.69,13047779
